Country_Region,Date,Category,value
Andorra,2020-03-02,Confirmed,1
Andorra,2020-03-02,Deaths,0
Andorra,2020-03-02,Recovered,0
Andorra,2020-03-03,Confirmed,1
Andorra,2020-03-03,Deaths,0
Andorra,2020-03-03,Recovered,0
Andorra,2020-03-04,Confirmed,1
Andorra,2020-03-04,Deaths,0
Andorra,2020-03-04,Recovered,0
Andorra,2020-03-05,Confirmed,1
Andorra,2020-03-05,Deaths,0
Andorra,2020-03-05,Recovered,0
Andorra,2020-03-06,Confirmed,1
Andorra,2020-03-06,Deaths,0
Andorra,2020-03-06,Recovered,0
Andorra,2020-03-07,Confirmed,1
Andorra,2020-03-07,Deaths,0
Andorra,2020-03-07,Recovered,0
Andorra,2020-03-08,Confirmed,1
Andorra,2020-03-08,Deaths,0
Andorra,2020-03-08,Recovered,0
Andorra,2020-03-09,Confirmed,1
Andorra,2020-03-09,Deaths,0
Andorra,2020-03-09,Recovered,0
Andorra,2020-03-10,Confirmed,1
Andorra,2020-03-10,Deaths,0
Andorra,2020-03-10,Recovered,0
Andorra,2020-03-11,Confirmed,1
Andorra,2020-03-11,Deaths,0
Andorra,2020-03-11,Recovered,0
Andorra,2020-03-12,Confirmed,1
Andorra,2020-03-12,Deaths,0
Andorra,2020-03-12,Recovered,1
Andorra,2020-03-13,Confirmed,1
Andorra,2020-03-13,Deaths,0
Andorra,2020-03-13,Recovered,0
Andorra,2020-03-14,Confirmed,1
Andorra,2020-03-14,Deaths,0
Andorra,2020-03-14,Recovered,1
Andorra,2020-03-15,Confirmed,1
Andorra,2020-03-15,Deaths,0
Andorra,2020-03-15,Recovered,1
Andorra,2020-03-16,Confirmed,2
Andorra,2020-03-16,Deaths,0
Andorra,2020-03-16,Recovered,1
Andorra,2020-03-17,Confirmed,39
Andorra,2020-03-17,Deaths,0
Andorra,2020-03-17,Recovered,1
Antigua and Barbuda,2020-01-22,Confirmed,0
Antigua and Barbuda,2020-01-22,Deaths,0
Antigua and Barbuda,2020-01-22,Recovered,0
Antigua and Barbuda,2020-01-23,Confirmed,0
Antigua and Barbuda,2020-01-23,Deaths,0
Antigua and Barbuda,2020-01-23,Recovered,0
Antigua and Barbuda,2020-01-24,Confirmed,0
Antigua and Barbuda,2020-01-24,Deaths,0
Antigua and Barbuda,2020-01-24,Recovered,0
Antigua and Barbuda,2020-01-25,Confirmed,0
Antigua and Barbuda,2020-01-25,Deaths,0
Antigua and Barbuda,2020-01-25,Recovered,0
Antigua and Barbuda,2020-01-26,Confirmed,0
Antigua and Barbuda,2020-01-26,Deaths,0
Antigua and Barbuda,2020-01-26,Recovered,0
Antigua and Barbuda,2020-01-27,Confirmed,0
Antigua and Barbuda,2020-01-27,Deaths,0
Antigua and Barbuda,2020-01-27,Recovered,0
Antigua and Barbuda,2020-01-28,Confirmed,0
Antigua and Barbuda,2020-01-28,Deaths,0
Antigua and Barbuda,2020-01-28,Recovered,0
Antigua and Barbuda,2020-01-29,Confirmed,0
Antigua and Barbuda,2020-01-29,Deaths,0
Antigua and Barbuda,2020-01-29,Recovered,0
Antigua and Barbuda,2020-01-30,Confirmed,0
Antigua and Barbuda,2020-01-30,Deaths,0
