state,Date,value
6 Mar,2020-03-03,5
6 Mar,2020-03-04,281
6 Mar,2020-03-05,8
6 Mar,2020-03-06,1
6 Mar,2020-03-07,1
6 Mar,2020-03-08,0
6 Mar,2020-03-09,7
6 Mar,2020-03-10,1
6 Mar,2020-03-11,0
6 Mar,2020-03-12,534
6 Mar,2020-03-13,0
6 Mar,2020-03-14,185
6 Mar,2020-03-15,0
7 Mar,2020-02-24,116
7 Mar,2020-02-25,117
7 Mar,2020-02-26,24
7 Mar,2020-02-27,2
7 Mar,2020-02-28,4
7 Mar,2020-02-29,12
7 Mar,2020-03-01,16
7 Mar,2020-03-02,19
7 Mar,2020-03-03,5
7 Mar,2020-03-04,346
7 Mar,2020-03-05,10
7 Mar,2020-03-06,2
7 Mar,2020-03-07,2
7 Mar,2020-03-08,0
7 Mar,2020-03-09,8
7 Mar,2020-03-10,1
7 Mar,2020-03-11,0
7 Mar,2020-03-12,684
7 Mar,2020-03-13,0
7 Mar,2020-03-14,150
7 Mar,2020-03-15,0
8 Mar,2020-02-24,182
8 Mar,2020-02-25,148
8 Mar,2020-02-26,28
8 Mar,2020-02-27,2
8 Mar,2020-02-28,4
8 Mar,2020-02-29,13
8 Mar,2020-03-01,17
8 Mar,2020-03-02,21
8 Mar,2020-03-03,7
8 Mar,2020-03-04,392
8 Mar,2020-03-05,15
8 Mar,2020-03-06,4
8 Mar,2020-03-07,4
8 Mar,2020-03-08,0
8 Mar,2020-03-09,8
8 Mar,2020-03-10,2
8 Mar,2020-03-11,0
8 Mar,2020-03-12,847
8 Mar,2020-03-13,0
8 Mar,2020-03-14,163
8 Mar,2020-03-15,0
9 Mar,2020-02-24,199
9 Mar,2020-02-25,256
9 Mar,2020-02-26,40
9 Mar,2020-02-27,6
9 Mar,2020-02-28,4
9 Mar,2020-02-29,17
9 Mar,2020-03-01,20
9 Mar,2020-03-02,33
9 Mar,2020-03-03,8
9 Mar,2020-03-04,484
9 Mar,2020-03-05,19
9 Mar,2020-03-06,5
9 Mar,2020-03-07,10
9 Mar,2020-03-08,0
9 Mar,2020-03-09,9
9 Mar,2020-03-10,2
9 Mar,2020-03-11,0
9 Mar,2020-03-12,1112
9 Mar,2020-03-13,2
9 Mar,2020-03-14,265
9 Mar,2020-03-15,2
