location,category,th_1,th_5,th_10,th_25,th_50,th_100
Thailand,cumulative deaths,2020-03-02,NA,NA,NA,NA,NA
United Kingdom,cumulative cases,2020-02-25,2020-02-11,2020-02-25,2020-03-02,2020-03-04,2020-03-06
United Kingdom,cumulative deaths,2020-03-07,2020-03-11,2020-03-14,2020-03-16,2020-03-17,NA
Trinidad and Tobago,cumulative cases,2020-02-25,2020-03-17,NA,NA,NA,NA
Tunisia,cumulative cases,2020-02-25,2020-03-11,2020-03-14,NA,NA,NA
Turkey,cumulative cases,2020-02-25,2020-03-14,2020-03-17,2020-03-17,NA,NA
Ukraine,cumulative deaths,2020-03-14,NA,NA,NA,NA,NA
Ukraine,cumulative cases,2020-02-25,2020-03-17,NA,NA,NA,NA
United Arab Emirates,cumulative cases,2020-02-25,2020-02-02,2020-02-22,2020-03-04,2020-03-10,NA
United States,cumulative cases,2020-02-25,2020-01-27,2020-02-03,2020-02-22,2020-02-25,2020-03-04
United States,cumulative deaths,2020-03-03,2020-03-04,2020-03-06,2020-03-11,2020-03-17,NA
Uruguay,cumulative cases,2020-02-25,2020-03-17,NA,NA,NA,NA
Venezuela,cumulative cases,2020-02-25,2020-03-17,2020-03-17,2020-03-17,NA,NA
Vietnam,cumulative cases,2020-02-25,2020-01-31,2020-02-05,2020-03-09,2020-03-15,NA
World,cumulative deaths,NA,NA,2020-01-23,2020-01-24,2020-01-26,2020-01-28
